asin,reviewer_id
122.0,631.0
1411.0,631.0
523.0,631.0
652.0,631.0
1653.0,631.0
80.0,631.0
125.0,777.0
103.0,777.0
873.0,777.0
1073.0,777.0
648.0,777.0
1304.0,474.0
1662.0,474.0
1218.0,474.0
31.0,474.0
523.0,474.0
18.0,474.0
147.0,474.0
328.0,474.0
1463.0,416.0
1389.0,416.0
924.0,416.0
30.0,416.0
1313.0,416.0
860.0,416.0
1600.0,416.0
635.0,416.0
651.0,416.0
39.0,417.0
796.0,417.0
566.0,417.0
16.0,417.0
783.0,417.0
430.0,417.0
59.0,417.0
74.0,417.0
229.0,417.0
365.0,376.0
1377.0,376.0
909.0,376.0
161.0,376.0
1636.0,376.0
562.0,376.0
258.0,376.0
1383.0,376.0
610.0,376.0
427.0,376.0
1372.0,546.0
1344.0,546.0
1079.0,546.0
1644.0,546.0
604.0,546.0
1512.0,546.0
770.0,546.0
39.0,324.0
372.0,324.0
443.0,324.0
1005.0,324.0
1055.0,324.0
717.0,324.0
57.0,324.0
981.0,324.0
601.0,324.0
1523.0,324.0
1221.0,324.0
1222.0,632.0
11.0,632.0
309.0,632.0
212.0,632.0
630.0,632.0
473.0,632.0
739.0,118.0
46.0,118.0
753.0,118.0
1222.0,118.0
1223.0,118.0
384.0,118.0
1340.0,118.0
348.0,118.0
573.0,118.0
1415.0,118.0
1327.0,118.0
743.0,118.0
1090.0,118.0
176.0,118.0
283.0,118.0
1455.0,118.0
870.0,118.0
1501.0,118.0
16.0,118.0
1505.0,118.0
1633.0,118.0
723.0,118.0
1245.0,118.0
838.0,118.0
530.0,118.0
1171.0,118.0
639.0,118.0
120.0,56.0
1484.0,56.0
483.0,56.0
1324.0,56.0
50.0,56.0
503.0,56.0
1361.0,56.0
835.0,56.0
1553.0,56.0
248.0,56.0
392.0,56.0
1471.0,56.0
1003.0,56.0
709.0,56.0
199.0,56.0
389.0,56.0
80.0,56.0
1343.0,56.0
1341.0,56.0
912.0,56.0
1354.0,56.0
72.0,56.0
632.0,56.0
1602.0,56.0
591.0,56.0
146.0,56.0
507.0,56.0
950.0,56.0
209.0,56.0
1332.0,56.0
1408.0,56.0
623.0,56.0
802.0,56.0
768.0,56.0
1086.0,56.0
427.0,56.0
497.0,778.0
1653.0,778.0
30.0,778.0
258.0,778.0
2.0,778.0
800.0,475.0
392.0,475.0
1389.0,475.0
1259.0,475.0
401.0,475.0
1325.0,475.0
1037.0,475.0
1628.0,475.0
1201.0,547.0
1110.0,547.0
873.0,547.0
1048.0,547.0
326.0,547.0
42.0,547.0
802.0,547.0
1177.0,779.0
41.0,779.0
1409.0,779.0
1362.0,779.0
59.0,779.0
322.0,158.0
348.0,158.0
39.0,158.0
566.0,158.0
210.0,158.0
1520.0,158.0
665.0,158.0
1105.0,158.0
123.0,158.0
18.0,158.0
1362.0,158.0
1213.0,158.0
487.0,158.0
854.0,158.0
57.0,158.0
1620.0,158.0
579.0,158.0
27.0,158.0
1442.0,158.0
1654.0,158.0
383.0,780.0
428.0,780.0
888.0,780.0
509.0,780.0
1103.0,780.0
607.0,781.0
383.0,781.0
84.0,781.0
334.0,781.0
255.0,781.0
4.0,782.0
20.0,782.0
1604.0,782.0
22.0,782.0
1328.0,782.0
483.0,548.0
1306.0,548.0
1611.0,548.0
1084.0,548.0
673.0,548.0
1556.0,548.0
642.0,548.0
348.0,633.0
103.0,633.0
