userId,productId,Rating
A5JLAU2ARJ0BO,1400532655,1.0
A2AEZQ3DGBBLPR,B000000O48,5.0
A2R6RA8FRBS608,B000001OL6,4.0
A11D1KHM7DVOQK,B000001OMN,2.0
A6FIAB28IS79,B00000J05A,3.0
A1RPTVW5VEOSI,B00000J061,5.0
A7Y6AVS576M03,B00000J0E8,5.0
A2AEZQ3DGBBLPR,B00000J1E6,1.0
A2R6RA8FRBS608,B00000J1EP,4.0
A11D1KHM7DVOQK,B00000J1G6,1.0
AKT8TGIT6VVZ5,B00000J1TX,5.0
A6FIAB28IS79,B00000J1UQ,5.0
A231WM2Z2JL0U3,B00000J1US,5.0
A2B7BUH8834Y6M,B00000J1UU,5.0
A2B7BUH8834Y6M,B00000J3II,5.0
A2AEZQ3DGBBLPR,B00000J3NG,5.0
A1MJMYLRTZ76ZX,B00000J434,4.0
A2AEZQ3DGBBLPR,B00000J49I,2.0
A6FIAB28IS79,B00000J4CY,3.0
AT2J7H5TRZM8Z,B00000J4FS,5.0
A2R6RA8FRBS608,B00000J4IX,4.0
A231WM2Z2JL0U3,B00000J570,4.0
A11D1KHM7DVOQK,B00000J9Z7,4.0
A149RNR5RH19YY,B00000JBAM,5.0
A1RPTVW5VEOSI,B00000JBIA,1.0
A1MJMYLRTZ76ZX,B00000JBUI,4.0
A11D1KHM7DVOQK,B00000JBYW,1.0
A11D1KHM7DVOQK,B00000JCTD,4.0
A1F9Z42CFF9IAY,B00000JDGO,5.0
A7Y6AVS576M03,B00000JFDW,4.0
A231WM2Z2JL0U3,B00000JFJA,3.0
A2AEZQ3DGBBLPR,B00000JFMK,4.0
A2B7BUH8834Y6M,B00000JFOF,5.0
A3OXHLG6DIBRW8,B00000JHX1,4.0
A3OXHLG6DIBRW8,B00000JLSJ,5.0
A231WM2Z2JL0U3,B00000JSGF,4.0
A12DLJESJKM1OQ,B00000JXV3,4.0
A2B7BUH8834Y6M,B00000K0KJ,4.0
A2B7BUH8834Y6M,B00000K1SF,1.0
A1RPTVW5VEOSI,B00000K3RI,3.0
A1RPTVW5VEOSI,B00000K3RO,4.0
A231WM2Z2JL0U3,B00000K4KH,5.0
A2B7BUH8834Y6M,B00000K4KU,5.0
A149RNR5RH19YY,B00001OPJ1,4.0
A2AEZQ3DGBBLPR,B00001OPK2,5.0
A231WM2Z2JL0U3,B00001OPK8,4.0
A7Y6AVS576M03,B00001OWYM,5.0
A11D1KHM7DVOQK,B00001P3XM,4.0
A6FIAB28IS79,B00001P4X5,3.0
A149RNR5RH19YY,B00001P4ZH,5.0
A6FIAB28IS79,B00001P4ZH,3.0
A2CL818RN52NWN,B00001P57V,5.0
A1MJMYLRTZ76ZX,B00001QEMF,5.0
A1RPTVW5VEOSI,B00001QHP5,5.0
A11D1KHM7DVOQK,B00001W0D4,4.0
A7Y6AVS576M03,B00001W0DI,5.0
A6FIAB28IS79,B00001W0DI,5.0
A1F9Z42CFF9IAY,B00001WRSJ,2.0
A7Y6AVS576M03,B00001X5AZ,5.0
A2BGZ52M908MJY,B00001XE0L,5.0
A7Y6AVS576M03,B00001YVG4,5.0
A231WM2Z2JL0U3,B00001YVG4,5.0
A2R6RA8FRBS608,B00001ZT4H,4.0
A1RPTVW5VEOSI,B00001ZUNQ,4.0
A2B7BUH8834Y6M,B00001ZWPF,4.0
A11D1KHM7DVOQK,B00001ZWRV,3.0
A7Y6AVS576M03,B0000206DP,5.0
AKT8TGIT6VVZ5,B000021YU8,5.0
A1MJMYLRTZ76ZX,B000021YU8,5.0
A1MJMYLRTZ76ZX,B000021YUO,5.0
A231WM2Z2JL0U3,B000021YUO,5.0
A231WM2Z2JL0U3,B000023VUL,5.0
A6FIAB28IS79,B000023VUL,2.0
A3OXHLG6DIBRW8,B000026D8E,2.0
A231WM2Z2JL0U3,B000028F42,5.0
A2B7BUH8834Y6M,B0000296HA,1.0
A149RNR5RH19YY,B00002EQCS,4.0
AGHZXQL9F94T9,B00002EQD2,5.0
A203OCQQ12MAVT,B00002NAXD,5.0
A231WM2Z2JL0U3,B00002SWHH,3.0
A3OXHLG6DIBRW8,B00003006E,5.0
A149RNR5RH19YY,B00003006E,5.0
A5JLAU2ARJ0BO,B00003006R,5.0
A2CL818RN52NWN,B0000300EC,5.0
A231WM2Z2JL0U3,B0000304ZO,5.0
AT2J7H5TRZM8Z,B000031KIM,5.0
A1MJMYLRTZ76ZX,B000031KIM,5.0
A3OXHLG6DIBRW8,B000031WDA,3.0
A2AEZQ3DGBBLPR,B0000326O1,4.0
A2BGZ52M908MJY,B0000365CI,2.0
A231WM2Z2JL0U3,B000038AB2,5.0
AT6CZDCP4TRGA,B00003CWA3,3.0
A231WM2Z2JL0U3,B00003CWCI,4.0
A6FIAB28IS79,B00003CWDH,4.0
A231WM2Z2JL0U3,B00003CWE8,4.0
A5JLAU2ARJ0BO,B00003G1RG,3.0
A231WM2Z2JL0U3,B00003G1RG,5.0
A231WM2Z2JL0U3,B00003G1RJ,5.0
A2R6RA8FRBS608,B00003GO0E,5.0
A1RPTVW5VEOSI,B00003WGP5,5.0
A231WM2Z2JL0U3,B00003ZDJ7,5.0
A231WM2Z2JL0U3,B0000488VK,3.0
A7Y6AVS576M03,B00004NKHY,4.0
A7Y6AVS576M03,B00004R8U4,1.0
A2B7BUH8834Y6M,B00004R8V6,2.0
A231WM2Z2JL0U3,B00004R8VC,5.0
A1RPTVW5VEOSI,B00004RC2D,5.0
A231WM2Z2JL0U3,B00004RC2D,4.0
A1MJMYLRTZ76ZX,B00004RC2E,5.0
A1RPTVW5VEOSI,B00004RERZ,5.0
A1RPTVW5VEOSI,B00004RF6K,5.0
A7Y6AVS576M03,B00004RG7J,5.0
A7Y6AVS576M03,B00004RG7N,5.0
A7Y6AVS576M03,B00004RG85,5.0
A1RPTVW5VEOSI,B00004RIPE,5.0
A2BGZ52M908MJY,B00004S5H5,4.0
A1MJMYLRTZ76ZX,B00004S5H5,5.0
A2BGZ52M908MJY,B00004S5H9,4.0
A2BGZ52M908MJY,B00004S7T4,2.0
A5JLAU2ARJ0BO,B00004S9AK,5.0
A231WM2Z2JL0U3,B00004S9AK,5.0
A1RPTVW5VEOSI,B00004S9WQ,5.0
A1F9Z42CFF9IAY,B00004S9WR,4.0
A231WM2Z2JL0U3,B00004SA30,5.0
A2AEZQ3DGBBLPR,B00004SABB,3.0
A1JWSDDIH5Z7DV,B00004SB92,5.0
A5JLAU2ARJ0BO,B00004SB92,4.0
A1RPTVW5VEOSI,B00004SB92,5.0
A231WM2Z2JL0U3,B00004SB92,5.0
A2B7BUH8834Y6M,B00004SB92,4.0
A1F9Z42CFF9IAY,B00004SB92,4.0
A1MJMYLRTZ76ZX,B00004SC3Y,4.0
A231WM2Z2JL0U3,B00004SC3Y,4.0
A231WM2Z2JL0U3,B00004SCIT,4.0
A25HBO5V8S8SEA,B00004SCKA,5.0
A231WM2Z2JL0U3,B00004SCKA,4.0
A1RPTVW5VEOSI,B00004SD14,1.0
A231WM2Z2JL0U3,B00004SD15,5.0
A231WM2Z2JL0U3,B00004SD85,5.0
A12DLJESJKM1OQ,B00004SD8X,5.0
A7Y6AVS576M03,B00004SD9J,5.0
A7Y6AVS576M03,B00004SD9P,5.0
A231WM2Z2JL0U3,B00004SD9Q,5.0
A1MJMYLRTZ76ZX,B00004SP9T,5.0
A2BGZ52M908MJY,B00004SP9W,2.0
A1RPTVW5VEOSI,B00004SPCB,3.0
A231WM2Z2JL0U3,B00004SSRC,5.0
A7Y6AVS576M03,B00004STHL,5.0
A2R6RA8FRBS608,B00004SU73,4.0
A2BGZ52M908MJY,B00004SWL0,5.0
A2BGZ52M908MJY,B00004SYB7,4.0
A231WM2Z2JL0U3,B00004SYB7,5.0
A2R6RA8FRBS608,B00004SYKO,5.0
A1MJMYLRTZ76ZX,B00004SYVH,5.0
A2B7BUH8834Y6M,B00004SYVL,4.0
A1MJMYLRTZ76ZX,B00004T0RC,5.0
A5JLAU2ARJ0BO,B00004T1KZ,4.0
A1MJMYLRTZ76ZX,B00004T1M1,5.0
A6FIAB28IS79,B00004T1WU,5.0
A6FIAB28IS79,B00004T1X6,4.0
A2R6RA8FRBS608,B00004T8R2,4.0
A11D1KHM7DVOQK,B00004T8R2,2.0
A1MJMYLRTZ76ZX,B00004TB3J,5.0
A231WM2Z2JL0U3,B00004TDL2,3.0
A6FIAB28IS79,B00004TDN0,5.0
A1MJMYLRTZ76ZX,B00004TDN2,5.0
A2B7BUH8834Y6M,B00004TDN2,4.0
A1MJMYLRTZ76ZX,B00004TDN5,4.0
A1RPTVW5VEOSI,B00004TDPP,3.0
A231WM2Z2JL0U3,B00004TE75,5.0
A2BGZ52M908MJY,B00004TEN2,5.0
A231WM2Z2JL0U3,B00004TEN2,5.0
A25HBO5V8S8SEA,B00004TENT,5.0
A1RPTVW5VEOSI,B00004TH2W,5.0
A231WM2Z2JL0U3,B00004TH2Y,4.0
A231WM2Z2JL0U3,B00004THDE,5.0
A2BGZ52M908MJY,B00004TJ0G,5.0
A2BGZ52M908MJY,B00004TJ0L,5.0
A3OXHLG6DIBRW8,B00004TJ7O,5.0
A6FIAB28IS79,B00004TKHY,4.0
A2B7BUH8834Y6M,B00004TL5Q,5.0
A2BGZ52M908MJY,B00004TL6K,4.0
A2BGZ52M908MJY,B00004TLP9,4.0
A5JLAU2ARJ0BO,B00004TS16,5.0
A231WM2Z2JL0U3,B00004TS16,5.0
A1FR68QH6Z4YZM,B00004TVEV,5.0
A2BGZ52M908MJY,B00004TVQQ,5.0
A2BGZ52M908MJY,B00004TVSD,4.0
A5JLAU2ARJ0BO,B00004TVSO,2.0
A1MJMYLRTZ76ZX,B00004TWM3,5.0
A2R6RA8FRBS608,B00004TWM4,3.0
A2R6RA8FRBS608,B00004TWVY,5.0
A1MJMYLRTZ76ZX,B00004TX6F,5.0
A2BGZ52M908MJY,B00004TX6I,4.0
A2BGZ52M908MJY,B00004TX6M,5.0
A1MJMYLRTZ76ZX,B00004TX7E,4.0
A1F9Z42CFF9IAY,B00004TX7E,4.0
A2BGZ52M908MJY,B00004TY7O,5.0
A2BGZ52M908MJY,B00004TY7U,5.0
A2BGZ52M908MJY,B00004TYBG,4.0
A2BGZ52M908MJY,B00004TYJG,5.0
A2AEZQ3DGBBLPR,B00004TZG9,4.0
A6FIAB28IS79,B00004TZGZ,3.0
A6FIAB28IS79,B00004TZJJ,4.0
A6FIAB28IS79,B00004TZJK,4.0
A6FIAB28IS79,B00004TZJQ,3.0
A11D1KHM7DVOQK,B00004TZK6,1.0
A6FIAB28IS79,B00004TZKO,3.0
A1FR68QH6Z4YZM,B00004U0CR,5.0
A1MJMYLRTZ76ZX,B00004U0CR,4.0
A2BGZ52M908MJY,B00004U0D8,2.0
A2BGZ52M908MJY,B00004U0FD,5.0
A2BGZ52M908MJY,B00004U1TJ,3.0
A2BGZ52M908MJY,B00004U1TP,3.0
A2BGZ52M908MJY,B00004U1TR,4.0
A1MJMYLRTZ76ZX,B00004U1U1,5.0
A1JWSDDIH5Z7DV,B00004U47J,5.0
A2BGZ52M908MJY,B00004U4RL,4.0
A2BGZ52M908MJY,B00004U4RX,4.0
A2BGZ52M908MJY,B00004U5VH,4.0
A231WM2Z2JL0U3,B00004U8FY,4.0
A2BGZ52M908MJY,B00004U8LL,5.0
A231WM2Z2JL0U3,B00004U9NP,4.0
A2BGZ52M908MJY,B00004VUM1,4.0
A1RPTVW5VEOSI,B00004VUMG,5.0
A1RPTVW5VEOSI,B00004VUMI,4.0
A3OXHLG6DIBRW8,B00004VV4J,5.0
A3OXHLG6DIBRW8,B00004VVGH,5.0
AT2J7H5TRZM8Z,B00004VWM3,2.0
A231WM2Z2JL0U3,B00004VWM3,5.0
A1RPTVW5VEOSI,B00004VX15,3.0
A5JLAU2ARJ0BO,B00004VX3T,3.0
A231WM2Z2JL0U3,B00004VX3T,5.0
A2BGZ52M908MJY,B00004W3YX,4.0
A231WM2Z2JL0U3,B00004W3YX,5.0
A203OCQQ12MAVT,B00004W3ZQ,5.0
A1RPTVW5VEOSI,B00004WCBU,5.0
A2AY4YUOX2N1BQ,B00004WCEO,5.0
AGXV8E7XK9J6H,B00004WCEY,4.0
AGXV8E7XK9J6H,B00004WCG6,4.0
A1RPTVW5VEOSI,B00004WCIA,5.0
AGXV8E7XK9J6H,B00004WCIC,4.0
AGXV8E7XK9J6H,B00004WCID,5.0
A1MJMYLRTZ76ZX,B00004WEJX,5.0
A231WM2Z2JL0U3,B00004WGNF,4.0
A1F9Z42CFF9IAY,B00004WGTA,5.0
A231WM2Z2JL0U3,B00004WHF1,5.0
A2BGZ52M908MJY,B00004WHIL,4.0
A231WM2Z2JL0U3,B00004WIMW,1.0
AT2J7H5TRZM8Z,B00004WZOG,5.0
A2BGZ52M908MJY,B00004X036,2.0
A231WM2Z2JL0U3,B00004X036,3.0
A2AEZQ3DGBBLPR,B00004X084,5.0
A2BGZ52M908MJY,B00004X0ZI,2.0
A5JLAU2ARJ0BO,B00004X107,4.0
A231WM2Z2JL0U3,B00004XO1V,5.0
AKT8TGIT6VVZ5,B00004XOM3,5.0
A2B7BUH8834Y6M,B00004XOM3,4.0
A231WM2Z2JL0U3,B00004XP73,3.0
A1RPTVW5VEOSI,B00004XRDN,5.0
AGHZXQL9F94T9,B00004XRED,5.0
A2B7BUH8834Y6M,B00004Y284,5.0
A2AEZQ3DGBBLPR,B00004Y2MM,5.0
A231WM2Z2JL0U3,B00004Y2MM,5.0
A231WM2Z2JL0U3,B00004Y303,4.0
AT6CZDCP4TRGA,B00004Y3U7,1.0
AT6CZDCP4TRGA,B00004Y3V0,1.0
A2BGZ52M908MJY,B00004Y57H,4.0
A2AEZQ3DGBBLPR,B00004Y7CF,5.0
A231WM2Z2JL0U3,B00004Y7CF,5.0
AT6CZDCP4TRGA,B00004Y7TC,4.0
A1MJMYLRTZ76ZX,B00004Y7TD,5.0
A231WM2Z2JL0U3,B00004Y7Y2,4.0
A2BGZ52M908MJY,B00004YAHK,5.0
AT2J7H5TRZM8Z,B00004YB5Y,5.0
A231WM2Z2JL0U3,B00004YBVE,3.0
A5JLAU2ARJ0BO,B00004YKDQ,1.0
A231WM2Z2JL0U3,B00004YKDQ,4.0
A7Y6AVS576M03,B00004YMBK,5.0
A231WM2Z2JL0U3,B00004YMBK,5.0
A7Y6AVS576M03,B00004YMC5,5.0
AT2J7H5TRZM8Z,B00004YNWQ,5.0
A231WM2Z2JL0U3,B00004YRVY,4.0
A2BGZ52M908MJY,B00004YV85,5.0
A2BGZ52M908MJY,B00004YZLV,4.0
A1MJMYLRTZ76ZX,B00004YZLV,5.0
